province,sex,age_range,education,n
Prince Edward Island,Male,18-29,No Highschool,4
Prince Edward Island,Male,18-29,Undergraduate,2
Prince Edward Island,Male,30-39,Graduate+,4
Prince Edward Island,Male,30-39,Highschool,23
Prince Edward Island,Male,30-39,No Highschool,1
Prince Edward Island,Male,30-39,Undergraduate,10
Prince Edward Island,Male,40-49,Graduate+,3
Prince Edward Island,Male,40-49,Highschool,23
Prince Edward Island,Male,40-49,"NA",2
Prince Edward Island,Male,40-49,No Highschool,3
Prince Edward Island,Male,40-49,Undergraduate,7
Prince Edward Island,Male,50-59,Graduate+,5
Prince Edward Island,Male,50-59,Highschool,34
Prince Edward Island,Male,50-59,No Highschool,7
Prince Edward Island,Male,50-59,Undergraduate,3
Prince Edward Island,Male,60-69,Graduate+,7
Prince Edward Island,Male,60-69,Highschool,39
Prince Edward Island,Male,60-69,"NA",1
Prince Edward Island,Male,60-69,No Highschool,12
Prince Edward Island,Male,60-69,Undergraduate,14
Prince Edward Island,Male,70-79,Graduate+,4
Prince Edward Island,Male,70-79,Highschool,17
Prince Edward Island,Male,70-79,"NA",1
Prince Edward Island,Male,70-79,No Highschool,14
Prince Edward Island,Male,70-79,Undergraduate,5
Prince Edward Island,Male,80-89,Graduate+,1
Prince Edward Island,Male,80-89,Highschool,2
Prince Edward Island,Male,80-89,"NA",1
Prince Edward Island,Male,80-89,No Highschool,6
Prince Edward Island,Male,80-89,Undergraduate,1
Quebec,Female,18-29,Graduate+,5
Quebec,Female,18-29,Highschool,117
Quebec,Female,18-29,"NA",6
Quebec,Female,18-29,No Highschool,10
Quebec,Female,18-29,Undergraduate,32
Quebec,Female,30-39,Graduate+,39
Quebec,Female,30-39,Highschool,148
Quebec,Female,30-39,"NA",4
Quebec,Female,30-39,No Highschool,14
Quebec,Female,30-39,Undergraduate,95
Quebec,Female,40-49,Graduate+,38
Quebec,Female,40-49,Highschool,158
Quebec,Female,40-49,"NA",2
Quebec,Female,40-49,No Highschool,19
Quebec,Female,40-49,Undergraduate,84
Quebec,Female,50-59,Graduate+,23
Quebec,Female,50-59,Highschool,202
Quebec,Female,50-59,"NA",2
Quebec,Female,50-59,No Highschool,43
Quebec,Female,50-59,Undergraduate,56
Quebec,Female,60-69,Graduate+,23
Quebec,Female,60-69,Highschool,282
Quebec,Female,60-69,"NA",6
Quebec,Female,60-69,No Highschool,68
Quebec,Female,60-69,Undergraduate,48
Quebec,Female,70-79,Graduate+,13
Quebec,Female,70-79,Highschool,156
Quebec,Female,70-79,"NA",10
Quebec,Female,70-79,No Highschool,124
Quebec,Female,70-79,Undergraduate,39
Quebec,Female,80-89,Graduate+,1
Quebec,Female,80-89,Highschool,74
Quebec,Female,80-89,"NA",2
Quebec,Female,80-89,No Highschool,84
Quebec,Female,80-89,Undergraduate,9
Quebec,Male,18-29,Graduate+,4
Quebec,Male,18-29,Highschool,110
Quebec,Male,18-29,"NA",2
Quebec,Male,18-29,No Highschool,32
Quebec,Male,18-29,Undergraduate,14
Quebec,Male,30-39,Graduate+,38
Quebec,Male,30-39,Highschool,167
Quebec,Male,30-39,"NA",5
Quebec,Male,30-39,No Highschool,15
Quebec,Male,30-39,Undergraduate,70
Quebec,Male,40-49,Graduate+,29
Quebec,Male,40-49,Highschool,157
Quebec,Male,40-49,"NA",1
Quebec,Male,40-49,No Highschool,27
Quebec,Male,40-49,Undergraduate,60
Quebec,Male,50-59,Graduate+,23
Quebec,Male,50-59,Highschool,185
Quebec,Male,50-59,"NA",7
Quebec,Male,50-59,No Highschool,41
